new,discovered,symbol,exchange
true,2017-10-07 21:00:03.0,ZSC,hitbtc
true,2017-10-07 23:15:04.0,KING,etherdelta
true,2017-10-08 00:00:02.0,ELM,ccex
true,2017-10-08 01:45:11.0,RLC,etherdelta
true,2017-10-08 07:00:03.0,ETHB,etherdelta
true,2017-10-08 07:00:03.0,VIB,etherdelta
true,2017-10-08 07:00:03.0,CDX,etherdelta
true,2017-10-08 09:30:03.0,Dragon Exchange,etherdelta
true,2017-10-08 09:30:03.0,REAL,etherdelta
true,2017-10-08 11:45:02.0,Rent Token,etherdelta
true,2017-10-08 15:00:22.0,Eren Yilmaz,etherdelta
true,2017-10-08 17:15:02.0,GUP,etherdelta
true,2017-10-08 18:00:14.0,ITT,etherdelta
true,2017-10-08 18:00:14.0,FAM,etherdelta
true,2017-10-08 18:15:02.0,IWT,etherdelta
true,2017-10-08 19:45:02.0,MLN,etherdelta
true,2017-10-08 21:15:18.0,GraphGrail Ai,etherdelta
true,2017-10-08 21:30:03.0,CCT,hitbtc
true,2017-10-08 21:30:03.0,ETBS,hitbtc
true,2017-10-08 22:15:21.0,RIYA,etherdelta
true,2017-10-08 22:45:04.0,eBitcoinCash,etherdelta
true,2017-10-08 23:00:18.0,RENT,etherdelta
true,2017-10-08 23:00:18.0,KSS,etherdelta
true,2017-10-08 23:00:18.0,CTCOLD,etherdelta
true,2017-10-08 23:00:18.0,WanCoi,etherdelta
true,2017-10-08 23:00:18.0,eRippl,etherdelta
true,2017-10-08 23:00:18.0,DET,etherdelta
true,2017-10-09 00:15:05.0,eBitco,etherdelta
true,2017-10-09 02:30:03.0,RGC,ccex
true,2017-10-09 02:45:06.0,Slipst,etherdelta
true,2017-10-09 04:30:05.0,EBCSH,etherdelta
true,2017-10-09 04:45:17.0,HGT,etherdelta
true,2017-10-09 05:45:04.0,RUB,etherdelta
true,2017-10-09 07:15:03.0,HLM,cryptopia
true,2017-10-09 08:45:20.0,FUCKOL,etherdelta
true,2017-10-09 10:00:03.0,Lotter,etherdelta
true,2017-10-09 14:15:06.0,ARXAI,etherdelta
